problem_clarity_score,market_need_score,founder_market_fit_score,ai_fit_score,business_potential_score,validation_score,confidence,eye_contact,speaking_speed,filler_words,clarity,energy,qna_quality_score,pitch_length_words,has_clear_customer,has_business_model,has_competition_awareness,has_go_to_market,has_revenue_model,investor_readiness_score
40.65,51.6,23.77,6.11,56.75,34.07,74.48,82.57,115.0,2.0,73.17,77.63,64.46,177,1,0.0,0,0.0,0.0,44.68
53.16,41.83,62.21,47.25,39.48,58.57,69.54,66.74,140.0,2.0,73.21,69.23,65.1,202,0,0.0,0,0.0,0.0,52.41
48.58,58.71,31.37,71.66,68.21,53.49,79.42,67.63,101.0,8.0,65.34,72.23,57.51,148,0,0.0,0,0.0,1.0,39.24
76.39,36.83,28.91,70.75,57.53,47.57,57.88,86.02,131.0,5.0,56.33,54.24,18.11,158,0,0.0,0,0.0,0.0,39.36
39.76,19.53,55.99,39.24,40.99,30.0,86.75,68.83,153.0,8.0,53.3,57.95,49.11,259,0,1.0,0,0.0,0.0,36.44
100.0,46.73,75.7,92.65,100.0,82.41,81.23,94.35,137.0,3.0,80.08,72.26,80.06,352,0,0.0,0,1.0,1.0,88.71
79.61,33.99,94.99,91.59,81.57,77.43,62.89,40.83,111.0,2.0,46.44,43.67,52.06,216,0,0.0,0,0.0,0.0,55.8
90.82,75.06,90.97,95.22,77.99,73.02,83.12,73.06,169.0,5.0,74.08,79.49,74.48,201,0,0.0,1,0.0,0.0,74.04
37.45,38.67,46.0,72.63,64.54,38.03,55.82,66.87,138.0,10.0,70.42,78.91,44.05,111,0,0.0,0,0.0,0.0,24.34
58.55,33.29,59.9,79.96,46.1,50.64,84.41,77.64,145.0,10.0,64.98,64.38,,298,0,0.0,0,0.0,0.0,37.29
91.39,54.25,72.9,80.2,75.77,72.14,90.0,81.55,158.0,2.0,77.37,61.73,74.26,282,0,1.0,0,0.0,0.0,80.71
,64.2,62.43,80.81,80.23,72.63,85.8,92.54,139.0,2.0,83.93,100.0,54.14,296,1,1.0,0,0.0,0.0,76.11
66.64,50.65,51.34,62.7,57.63,65.04,61.53,51.21,134.0,1.0,63.24,73.52,66.07,223,0,0.0,0,0.0,0.0,54.35
47.03,33.16,63.24,77.28,39.96,39.58,66.05,61.92,161.0,9.0,65.58,71.84,54.28,260,0,0.0,0,0.0,0.0,36.12
54.93,52.28,49.59,47.14,63.69,50.95,73.68,42.73,126.0,4.0,56.55,58.86,64.3,179,0,0.0,0,0.0,0.0,50.97
73.08,41.7,39.76,56.29,64.17,56.06,60.6,58.65,155.0,9.0,46.19,51.83,65.22,253,0,0.0,0,0.0,0.0,38.02
65.3,69.37,42.23,73.31,67.06,62.93,74.13,58.59,120.0,0.0,72.76,76.01,63.66,212,0,0.0,0,1.0,0.0,68.63
77.35,62.26,58.43,93.79,68.52,61.32,76.62,94.81,128.0,0.0,67.45,76.36,38.43,221,1,0.0,1,1.0,0.0,68.97
49.68,14.27,46.85,43.49,36.35,31.36,71.05,59.87,145.0,3.0,61.01,60.43,48.29,141,0,,0,0.0,,21.6
61.53,67.6,42.45,84.6,65.03,55.13,55.21,65.27,163.0,13.0,45.02,76.51,40.17,200,0,1.0,0,1.0,0.0,55.0
71.51,35.34,70.69,63.53,75.59,68.61,74.45,69.29,143.0,7.0,51.19,40.35,78.46,189,1,1.0,0,1.0,0.0,59.38
49.37,29.49,53.03,68.41,50.59,38.22,66.63,54.09,114.0,3.0,56.75,50.65,47.49,325,0,0.0,0,1.0,0.0,47.47
76.86,66.62,83.97,59.97,58.71,65.01,61.58,43.93,151.0,10.0,43.76,46.37,65.58,285,0,0.0,1,0.0,0.0,52.82
68.26,45.92,61.01,80.91,45.84,59.43,69.84,64.77,125.0,15.0,53.72,67.44,74.29,190,0,0.0,0,0.0,0.0,46.21
27.27,5.96,30.72,44.26,38.12,17.77,49.7,80.03,148.0,6.0,68.94,79.95,32.97,183,0,0.0,0,0.0,0.0,15.35
82.99,68.04,62.8,65.4,69.3,68.33,61.79,99.59,144.0,4.0,81.56,83.18,66.8,249,0,0.0,1,1.0,0.0,72.22
73.59,,45.78,62.3,58.13,44.29,52.16,38.27,110.0,1.0,57.98,53.96,49.51,277,1,0.0,0,0.0,0.0,58.48
54.06,39.21,36.93,68.75,63.95,47.74,68.03,55.45,146.0,15.0,42.58,41.25,74.49,299,0,1.0,0,0.0,1.0,48.28
50.6,49.92,35.24,36.96,49.22,43.33,73.18,74.87,118.0,7.0,73.85,91.3,71.32,237,0,0.0,0,0.0,0.0,48.84
58.76,35.99,20.85,30.11,27.25,35.83,55.08,56.4,,5.0,56.66,48.19,35.93,159,0,0.0,0,1.0,0.0,31.24
72.77,50.72,43.49,76.43,78.39,53.23,,81.55,110.0,14.0,58.57,58.53,48.21,215,0,0.0,0,1.0,0.0,48.33
54.58,53.48,48.36,31.58,28.18,45.1,51.01,51.78,134.0,5.0,55.41,59.72,43.9,173,0,0.0,0,0.0,0.0,42.34
66.17,47.1,56.21,89.36,77.37,59.04,68.71,58.65,123.0,7.0,58.68,66.97,52.04,80,1,0.0,0,0.0,0.0,47.77
82.21,48.12,41.86,91.59,58.25,65.74,83.98,79.04,167.0,2.0,57.16,67.21,64.12,226,0,0.0,0,0.0,0.0,60.37
73.08,27.46,59.25,82.37,63.98,58.1,74.78,80.27,113.0,6.0,75.7,85.38,59.85,80,0,0.0,0,0.0,0.0,39.88
53.32,30.75,58.42,59.34,48.57,36.75,62.52,58.09,181.0,2.0,59.31,78.91,50.2,300,0,0.0,0,0.0,1.0,39.68
55.67,41.73,51.56,91.53,61.12,46.91,52.21,44.17,131.0,3.0,52.05,51.58,,142,0,1.0,0,0.0,1.0,47.79
88.98,69.93,52.6,92.78,73.18,65.87,91.69,87.84,133.0,2.0,91.56,65.56,88.22,216,0,0.0,1,0.0,1.0,80.13
28.44,32.51,15.61,31.66,39.05,28.18,73.34,58.08,154.0,7.0,64.45,75.7,43.45,268,0,0.0,0,0.0,1.0,30.75
67.53,74.69,48.66,84.51,86.44,64.79,41.9,61.42,135.0,11.0,69.99,49.6,39.34,172,1,0.0,1,0.0,0.0,61.95
68.4,47.57,37.03,32.87,52.65,46.62,67.74,76.09,124.0,1.0,85.5,83.23,55.56,251,1,0.0,0,0.0,0.0,50.55
71.23,23.19,66.52,59.53,59.41,68.56,60.07,71.07,125.0,5.0,57.28,59.58,54.6,143,0,0.0,0,0.0,0.0,57.68
89.15,66.33,38.13,44.36,60.64,56.9,86.25,83.25,133.0,4.0,81.16,58.41,84.19,205,0,0.0,0,0.0,0.0,62.9
57.82,17.53,62.94,65.74,53.39,53.97,87.08,78.89,130.0,4.0,74.89,75.6,75.81,156,0,0.0,0,0.0,0.0,49.1
92.84,34.52,40.7,73.73,59.38,55.08,68.55,48.54,154.0,6.0,44.43,58.6,68.73,262,0,0.0,0,0.0,0.0,51.78
80.72,61.55,55.61,68.89,90.77,53.84,59.42,48.28,140.0,2.0,78.04,68.38,68.71,320,1,1.0,0,1.0,0.0,71.56
75.48,62.85,52.39,65.54,53.54,60.14,77.71,70.66,149.0,2.0,75.69,59.69,47.14,243,0,0.0,1,0.0,0.0,58.58
95.23,75.62,76.8,63.5,57.85,79.32,100.0,84.76,136.0,4.0,71.94,93.22,72.0,288,1,1.0,1,0.0,0.0,78.47
56.83,55.73,23.42,59.42,36.59,47.24,57.48,53.84,150.0,7.0,65.26,35.59,38.41,183,1,0.0,0,0.0,0.0,46.97
63.07,38.38,38.61,79.95,61.33,51.08,82.99,77.93,129.0,3.0,69.84,81.94,79.6,241,0,0.0,0,0.0,0.0,49.66
66.53,52.88,66.15,57.86,59.8,57.56,75.04,78.32,124.0,3.0,59.82,56.87,70.25,262,0,1.0,0,0.0,0.0,61.99
73.97,34.64,25.05,74.9,71.51,47.02,46.07,44.17,127.0,4.0,49.34,52.85,50.46,156,0,0.0,0,1.0,1.0,53.03
64.6,33.37,64.16,71.54,47.78,56.38,58.34,51.64,164.0,7.0,57.61,58.69,49.93,294,0,,0,0.0,0.0,50.35
89.79,66.93,67.91,80.47,78.64,69.4,69.32,44.12,129.0,2.0,87.92,67.98,65.58,327,0,1.0,1,1.0,0.0,64.45
53.6,79.98,23.97,65.53,79.56,52.05,35.74,44.47,125.0,16.0,45.15,65.18,35.65,346,1,1.0,0,1.0,1.0,55.74
82.57,,65.85,63.78,69.44,63.91,76.95,54.72,145.0,12.0,64.69,73.89,72.35,245,0,0.0,0,0.0,0.0,49.77
58.97,32.14,46.16,71.07,54.59,44.9,84.77,59.9,,4.0,68.32,81.24,62.89,170,0,0.0,0,1.0,0.0,47.78
66.42,36.66,69.5,66.62,52.42,61.37,53.49,61.9,118.0,12.0,55.39,71.8,62.45,209,0,0.0,0,0.0,0.0,49.08
64.38,62.27,44.31,50.91,53.17,55.93,60.09,68.26,117.0,5.0,57.68,37.38,60.2,179,0,1.0,0,1.0,0.0,69.51
52.42,60.97,32.9,38.27,43.41,40.18,60.24,70.86,152.0,7.0,48.57,61.75,56.52,240,0,0.0,0,0.0,0.0,37.69
63.7,67.62,29.88,65.88,72.79,48.82,79.72,48.24,120.0,8.0,64.55,65.51,66.14,312,0,0.0,1,1.0,0.0,53.55
60.81,50.12,63.36,78.06,55.9,52.26,83.75,65.48,158.0,8.0,52.09,71.22,72.1,336,0,0.0,0,0.0,0.0,52.42
71.23,83.7,55.63,74.68,68.89,80.76,84.12,80.71,133.0,6.0,67.26,74.66,82.46,210,1,0.0,1,,0.0,71.07
60.28,59.19,48.07,85.27,81.57,57.94,83.02,72.18,100.0,10.0,52.83,73.65,58.01,148,1,1.0,1,0.0,0.0,53.0
46.47,62.09,30.36,55.31,42.81,48.88,44.04,62.79,148.0,10.0,37.7,35.64,49.1,145,0,0.0,1,0.0,0.0,41.39
65.8,37.79,40.02,57.62,49.95,38.95,62.54,42.62,153.0,6.0,39.11,77.94,49.73,157,0,0.0,0,0.0,0.0,34.45
76.34,15.56,71.76,60.14,48.2,43.96,66.24,54.7,150.0,2.0,42.71,70.68,48.54,174,0,0.0,0,0.0,0.0,32.23
99.91,76.32,53.1,74.6,89.47,74.06,74.57,68.94,132.0,1.0,76.67,65.63,71.17,399,0,1.0,1,1.0,1.0,78.91
49.64,47.42,49.31,42.51,60.38,57.42,77.27,82.39,134.0,5.0,55.35,92.69,71.68,211,0,0.0,0,0.0,1.0,57.77
89.9,78.04,66.17,81.22,75.54,66.18,89.48,54.29,134.0,3.0,99.02,71.09,82.99,347,0,1.0,0,0.0,1.0,79.07
44.41,30.38,52.76,60.14,82.97,43.7,66.49,61.49,126.0,2.0,53.48,64.23,61.88,279,0,0.0,0,1.0,1.0,39.94
52.39,35.76,52.9,64.96,60.14,53.02,75.55,52.18,146.0,5.0,71.08,72.8,62.94,252,0,0.0,1,0.0,0.0,49.71
63.13,53.06,56.08,45.86,69.83,64.76,51.9,44.48,133.0,11.0,48.77,41.07,66.47,275,0,1.0,0,0.0,0.0,53.24
72.33,68.14,48.67,58.71,73.44,63.97,81.52,90.46,133.0,7.0,56.72,66.29,73.47,231,1,0.0,1,1.0,0.0,71.97
46.05,42.11,62.39,72.02,68.55,55.34,48.71,59.09,124.0,7.0,41.74,50.72,40.91,231,0,0.0,0,0.0,1.0,45.71
85.19,43.56,83.65,62.49,60.22,58.59,57.62,48.14,141.0,4.0,71.31,50.06,55.38,380,0,0.0,0,1.0,0.0,58.86
66.09,66.61,33.98,52.33,52.77,44.66,93.62,82.4,166.0,1.0,85.94,89.01,59.62,214,0,0.0,0,0.0,0.0,54.71
83.99,76.92,74.32,79.44,83.52,68.0,81.95,56.35,144.0,3.0,75.67,66.18,60.4,327,1,1.0,1,1.0,1.0,81.32
64.75,74.94,39.08,54.53,71.58,53.21,58.92,66.02,114.0,20.0,46.14,73.88,79.1,235,1,1.0,1,1.0,0.0,54.1
69.82,46.66,51.52,81.92,67.45,58.35,59.47,43.2,138.0,15.0,70.73,83.69,76.03,241,1,0.0,0,1.0,1.0,53.71
65.49,78.94,56.13,41.01,72.95,54.83,56.46,51.21,146.0,9.0,,48.49,64.48,240,0,1.0,1,1.0,0.0,63.57
74.31,48.65,49.47,73.02,72.31,59.8,60.51,42.92,151.0,2.0,62.51,49.81,63.08,744,0,0.0,0,0.0,0.0,49.02
79.03,56.78,81.47,62.17,58.4,62.9,81.98,74.09,151.0,1.0,91.79,78.37,67.07,205,0,0.0,0,0.0,0.0,63.74
51.87,54.08,56.17,61.82,46.6,46.73,70.28,93.77,142.0,12.0,55.12,72.28,44.19,265,1,0.0,0,1.0,0.0,57.5
58.73,54.13,46.81,50.97,64.04,57.26,68.3,49.42,188.0,1.0,64.69,76.1,58.46,343,0,1.0,0,0.0,0.0,54.95
57.81,41.0,41.69,47.92,39.75,37.65,70.83,44.44,118.0,6.0,45.05,56.89,42.78,250,0,0.0,0,0.0,,39.06
82.58,,51.7,84.2,66.73,66.79,64.83,76.13,166.0,7.0,69.09,53.47,71.08,253,0,0.0,0,1.0,1.0,62.42
65.71,43.08,17.2,42.42,58.54,48.61,72.7,80.28,150.0,3.0,65.22,87.31,60.3,251,1,0.0,0,0.0,0.0,45.81
61.02,56.28,32.6,47.48,60.6,43.45,65.14,64.24,180.0,9.0,65.29,44.88,62.98,264,1,0.0,0,1.0,1.0,48.45
52.21,6.97,42.07,49.79,52.87,43.32,27.38,17.6,108.0,6.0,34.38,22.28,38.52,270,0,0.0,0,0.0,0.0,23.98
89.57,74.22,65.4,100.0,84.91,69.12,88.16,86.98,170.0,2.0,86.1,100.0,58.79,246,1,0.0,0,1.0,1.0,83.58
62.89,46.28,92.14,76.72,81.47,72.82,81.6,59.93,171.0,6.0,69.41,80.34,69.94,217,0,0.0,0,1.0,0.0,54.24
60.53,75.96,51.07,86.61,71.74,64.59,49.35,58.54,134.0,1.0,65.26,80.98,61.26,174,0,0.0,0,0.0,1.0,62.86
70.77,16.5,53.03,68.6,62.02,38.91,95.92,60.35,128.0,5.0,86.32,61.77,69.49,318,0,1.0,0,,0.0,45.67
63.17,50.7,51.55,80.0,53.98,46.17,94.3,68.57,181.0,2.0,54.51,54.42,57.08,310,1,0.0,0,0.0,0.0,47.64
64.7,26.73,52.53,58.41,67.01,46.71,75.87,65.02,126.0,4.0,64.04,65.91,53.94,238,0,0.0,0,1.0,0.0,42.74
87.42,53.58,66.2,78.76,63.22,70.45,55.08,52.03,156.0,9.0,44.44,57.78,50.63,238,0,,0,0.0,,57.74
53.5,44.55,44.67,40.12,49.52,43.64,65.18,54.53,166.0,8.0,43.16,40.15,33.38,340,0,1.0,0,0.0,0.0,34.98
69.25,37.56,38.26,38.63,54.54,45.31,72.78,60.28,137.0,12.0,53.43,47.39,54.9,252,0,0.0,0,0.0,0.0,30.24
48.78,48.19,45.73,69.52,44.38,46.3,75.59,78.8,137.0,9.0,57.77,89.56,65.13,199,1,0.0,1,1.0,0.0,48.9
64.65,64.21,40.44,71.09,64.21,44.3,45.65,72.84,168.0,13.0,40.1,63.39,38.7,190,1,0.0,1,0.0,1.0,59.12
63.9,77.36,34.55,88.52,73.77,65.92,,57.67,131.0,5.0,48.89,47.58,42.41,311,1,1.0,1,1.0,1.0,73.71
98.94,54.44,49.5,59.53,83.0,74.77,83.75,71.48,132.0,0.0,82.55,84.72,85.67,345,0,0.0,0,1.0,1.0,84.68
54.71,47.36,69.16,66.01,56.49,58.48,69.81,44.71,91.0,8.0,57.84,67.63,73.76,237,0,0.0,0,0.0,0.0,48.67
72.6,49.78,42.79,46.5,57.5,49.76,63.22,55.89,159.0,6.0,67.3,31.62,52.2,214,0,1.0,0,0.0,0.0,50.49
39.78,23.07,54.11,48.41,44.65,32.41,67.18,66.48,133.0,,59.26,65.31,40.29,271,0,0.0,0,0.0,0.0,27.53
86.29,60.68,54.01,63.78,64.66,56.76,65.03,55.11,153.0,10.0,54.73,61.17,55.87,215,0,0.0,0,,0.0,54.72
65.34,54.86,67.29,69.59,58.45,51.73,58.75,42.57,135.0,17.0,38.69,16.54,53.0,267,1,1.0,0,0.0,0.0,43.56
63.46,33.92,50.07,52.22,76.1,64.6,56.74,48.99,162.0,11.0,56.59,67.49,53.53,449,1,1.0,0,1.0,1.0,52.22
66.75,74.34,71.3,82.05,66.17,66.13,91.26,60.75,167.0,6.0,64.91,66.17,55.62,204,1,0.0,0,0.0,0.0,66.03
86.78,72.52,58.26,96.34,96.94,80.27,67.36,51.09,121.0,7.0,80.19,47.65,81.7,290,1,1.0,0,0.0,1.0,75.96
80.24,30.97,71.2,81.28,55.61,63.03,84.61,78.96,133.0,1.0,72.58,80.52,71.97,240,0,0.0,0,0.0,1.0,61.09
80.06,55.47,73.34,88.87,77.84,69.22,100.0,85.95,154.0,2.0,88.58,86.11,95.51,201,0,1.0,0,1.0,0.0,74.62
87.16,31.77,79.91,82.71,55.82,56.23,97.19,96.56,169.0,14.0,78.95,86.25,72.68,312,0,0.0,0,1.0,0.0,53.93
,42.87,66.73,71.96,72.27,64.16,87.43,74.13,144.0,3.0,75.35,52.03,,279,0,1.0,0,1.0,1.0,75.8
79.49,39.4,58.72,59.3,47.7,47.75,69.88,52.01,144.0,8.0,65.95,57.55,55.43,242,0,0.0,0,0.0,0.0,37.84
71.63,53.18,57.23,75.42,64.9,62.86,62.27,69.99,145.0,6.0,55.81,44.52,52.93,211,0,0.0,0,0.0,1.0,57.14
75.32,79.17,85.74,64.04,83.17,67.94,66.68,65.91,123.0,9.0,54.26,61.02,57.01,192,1,0.0,0,1.0,0.0,69.97
58.34,43.08,30.99,58.34,54.21,42.43,63.99,70.96,131.0,3.0,66.91,50.77,72.22,256,0,0.0,0,0.0,0.0,45.49
91.83,56.8,46.5,57.45,42.58,55.59,62.3,71.63,135.0,7.0,80.52,59.93,59.29,308,0,0.0,0,0.0,0.0,48.99
56.13,44.75,29.68,50.85,77.63,56.15,75.63,71.0,159.0,4.0,65.22,86.82,78.4,134,0,0.0,1,0.0,1.0,56.35
70.62,66.78,35.02,52.67,60.88,40.74,47.52,50.66,169.0,7.0,35.72,73.96,37.22,219,0,0.0,1,0.0,0.0,37.21
100.0,50.73,83.64,78.14,83.88,88.56,85.64,70.4,126.0,9.0,74.76,82.49,66.16,348,1,0.0,0,1.0,1.0,77.35
82.76,48.85,46.26,59.82,51.67,50.71,79.74,74.71,154.0,1.0,82.87,93.53,72.35,228,1,0.0,0,0.0,0.0,55.17
89.21,53.0,64.16,66.32,80.61,66.21,71.14,76.37,144.0,2.0,65.84,52.33,58.68,253,0,1.0,0,0.0,0.0,62.69
66.08,55.15,50.46,60.4,53.82,56.43,79.52,73.5,132.0,6.0,69.95,61.6,67.92,268,0,1.0,0,0.0,0.0,67.48
63.4,44.79,52.01,21.42,47.38,48.89,39.62,61.99,118.0,12.0,46.5,55.53,46.57,191,0,0.0,0,0.0,0.0,42.9
67.54,43.69,57.13,34.22,61.49,57.11,49.98,56.69,141.0,4.0,49.9,48.3,53.54,259,0,0.0,0,1.0,0.0,51.98
49.49,41.14,72.43,79.6,50.92,55.4,53.87,34.28,127.0,3.0,51.99,34.16,69.18,186,1,0.0,0,0.0,0.0,49.96
81.95,60.03,56.85,75.31,69.84,76.51,71.15,60.0,147.0,15.0,58.65,75.33,70.09,237,0,0.0,1,0.0,1.0,64.26
68.6,33.44,63.88,58.86,65.29,58.18,69.6,47.97,122.0,4.0,74.46,75.48,64.47,194,0,0.0,0,0.0,0.0,50.06
50.72,38.79,57.28,69.83,68.05,49.72,64.87,56.12,119.0,,54.77,39.22,51.06,237,0,0.0,0,1.0,0.0,46.85
65.69,25.15,39.82,57.05,48.11,40.02,48.56,54.09,156.0,11.0,45.83,66.0,49.29,242,0,0.0,0,0.0,0.0,28.92
38.27,,18.39,45.81,44.97,28.85,100.0,62.99,147.0,7.0,54.65,66.81,62.35,148,0,0.0,0,0.0,0.0,32.19
66.86,73.62,69.21,67.89,84.95,75.68,47.71,43.01,140.0,6.0,,59.05,57.86,258,1,1.0,0,1.0,1.0,68.84
86.59,77.05,54.25,96.97,46.5,77.58,100.0,80.86,135.0,6.0,79.64,57.62,90.83,249,1,0.0,1,0.0,0.0,72.26
70.42,54.98,53.56,66.37,81.92,66.66,71.96,58.96,,7.0,44.23,61.63,59.15,170,0,1.0,0,0.0,1.0,69.59
38.82,49.46,38.4,64.44,46.16,23.2,57.0,51.46,135.0,11.0,57.67,56.88,48.39,159,0,0.0,0,0.0,0.0,35.04
57.58,50.4,64.72,68.6,53.01,40.5,68.92,63.65,154.0,11.0,28.34,60.68,33.85,173,0,1.0,0,0.0,0.0,45.81
63.27,28.1,56.23,29.47,50.83,44.88,66.26,68.67,131.0,5.0,69.28,37.78,65.25,228,1,0.0,0,0.0,0.0,36.69
88.46,65.67,74.19,77.08,79.41,71.47,66.37,49.7,120.0,8.0,50.17,54.56,55.25,349,1,1.0,0,1.0,1.0,72.4
82.01,,52.9,73.14,53.91,56.64,56.35,72.52,125.0,5.0,66.29,62.4,63.57,304,1,0.0,0,0.0,0.0,64.42
83.96,61.67,52.69,69.38,92.16,74.98,78.03,81.15,148.0,7.0,71.66,57.67,,307,0,0.0,1,0.0,1.0,72.11
30.12,65.73,14.3,75.76,16.95,42.45,53.81,53.28,120.0,11.0,45.92,59.98,50.64,259,1,1.0,0,0.0,0.0,32.04
55.41,67.55,35.51,48.78,41.94,49.38,36.1,32.67,168.0,7.0,47.46,45.9,55.34,128,0,0.0,1,0.0,0.0,41.01
61.15,63.98,52.25,76.85,54.11,47.37,53.51,46.32,113.0,16.0,40.26,49.13,36.39,129,0,0.0,1,0.0,0.0,41.18
52.22,77.21,37.72,74.68,54.15,46.91,63.68,49.93,136.0,2.0,47.93,53.56,50.96,252,1,0.0,1,0.0,0.0,52.72
57.2,8.93,51.9,72.47,71.72,45.07,49.46,61.1,158.0,5.0,54.25,28.38,41.33,205,0,0.0,0,1.0,0.0,37.52
62.48,50.43,53.09,71.94,47.31,54.79,58.1,74.62,143.0,7.0,56.51,39.98,48.11,176,1,0.0,0,0.0,0.0,45.01
74.27,47.46,78.36,72.86,87.76,58.94,93.69,90.03,137.0,8.0,73.48,89.64,55.29,358,1,1.0,0,1.0,1.0,83.29
63.48,65.6,65.3,32.81,49.67,59.85,62.85,31.9,159.0,7.0,45.2,34.44,56.7,308,0,0.0,0,0.0,0.0,47.94
63.82,18.46,58.55,59.92,27.67,31.44,62.28,53.03,122.0,7.0,55.02,50.52,56.29,237,0,0.0,0,0.0,0.0,32.19
70.51,58.5,60.35,69.7,34.9,39.62,97.27,84.02,138.0,5.0,77.81,95.24,78.41,294,1,0.0,0,0.0,0.0,57.29
84.69,76.35,63.58,80.73,71.75,65.74,82.73,57.4,112.0,5.0,73.03,43.87,59.5,249,1,1.0,1,0.0,0.0,78.21
94.14,79.27,74.84,90.3,77.78,86.38,80.96,53.78,157.0,7.0,56.03,40.63,69.14,259,0,1.0,1,1.0,1.0,80.2
51.25,56.19,0.0,59.28,54.3,49.37,62.02,62.26,149.0,7.0,69.28,69.44,,80,0,1.0,1,0.0,1.0,42.75
57.58,63.6,39.74,44.22,61.14,41.93,56.13,72.71,148.0,3.0,64.76,68.55,42.76,273,0,0.0,0,0.0,1.0,55.83
56.81,18.46,33.94,80.55,69.76,34.48,92.21,96.66,145.0,6.0,58.19,60.51,55.28,274,0,0.0,0,1.0,1.0,42.24
92.88,80.25,38.3,56.31,68.41,71.08,59.04,54.87,140.0,3.0,64.47,51.55,63.0,286,1,1.0,1,0.0,1.0,66.73
48.12,37.75,47.36,67.75,56.8,42.91,65.63,49.02,141.0,11.0,40.7,55.67,46.55,316,0,1.0,0,0.0,0.0,38.06
49.97,21.85,87.61,76.48,71.77,61.56,46.91,30.51,142.0,9.0,43.31,34.35,37.14,228,0,0.0,0,0.0,1.0,40.44
62.38,47.22,52.0,51.05,56.46,55.54,60.58,66.73,141.0,16.0,59.39,47.9,66.06,211,0,0.0,0,0.0,0.0,49.9
61.24,27.58,52.35,74.66,59.18,53.95,47.56,39.37,120.0,10.0,52.1,27.58,51.92,280,0,0.0,0,0.0,0.0,30.88
72.53,78.77,56.79,76.35,92.66,65.12,51.53,53.65,96.0,9.0,,66.48,61.92,244,0,1.0,1,1.0,1.0,66.2
54.25,55.86,54.05,65.31,53.79,54.81,51.52,44.25,175.0,13.0,51.09,63.44,56.05,207,0,1.0,0,0.0,0.0,42.96
62.66,29.2,70.63,67.46,60.9,64.66,70.86,68.95,128.0,2.0,87.34,83.47,74.88,179,0,0.0,0,0.0,0.0,47.69
70.97,24.41,58.55,53.68,63.31,51.3,67.65,63.3,,3.0,50.43,70.21,56.76,163,0,0.0,0,1.0,1.0,47.68
72.05,44.79,33.28,90.53,27.38,47.49,58.56,65.91,220.0,1.0,78.19,81.33,48.09,329,0,0.0,0,0.0,1.0,53.4
100.0,86.1,64.5,68.74,79.85,75.22,44.76,59.11,142.0,7.0,65.94,27.16,75.25,219,1,0.0,1,1.0,1.0,84.88
65.44,52.77,45.77,43.73,76.06,44.89,68.43,50.98,114.0,8.0,64.8,75.15,62.3,192,0,0.0,0,0.0,0.0,52.72
42.22,29.7,64.26,45.59,51.95,36.32,71.77,60.61,119.0,7.0,47.51,49.76,41.3,216,0,0.0,0,0.0,0.0,39.98
,57.69,71.39,78.77,57.64,55.45,59.63,51.0,154.0,4.0,65.11,78.51,48.34,293,1,0.0,0,1.0,0.0,45.92
47.22,,10.9,32.21,51.84,26.9,66.92,85.65,150.0,9.0,72.49,100.0,70.03,237,0,0.0,0,0.0,0.0,37.12
63.23,73.86,41.63,71.43,53.29,47.47,59.25,78.56,129.0,9.0,64.37,71.35,52.25,135,1,,0,0.0,0.0,50.16
57.49,68.26,40.94,69.5,51.91,38.69,53.01,71.37,137.0,7.0,53.28,57.74,39.55,145,1,0.0,0,0.0,0.0,51.47
61.35,9.58,41.29,54.2,46.23,33.55,80.56,97.98,142.0,2.0,81.36,81.78,53.49,231,0,0.0,0,0.0,0.0,48.51
64.49,71.86,57.15,39.68,75.71,64.78,79.02,61.91,145.0,13.0,47.27,52.68,67.87,367,0,1.0,1,1.0,1.0,69.57
36.88,48.74,39.75,30.99,23.94,33.65,84.28,73.71,149.0,7.0,58.34,78.78,50.67,288,0,0.0,0,0.0,0.0,33.96
73.03,90.16,53.37,63.84,91.5,69.18,43.92,62.75,129.0,8.0,38.29,73.69,53.33,371,1,1.0,1,1.0,0.0,66.08
60.05,45.06,49.08,38.15,79.23,56.57,79.9,65.43,154.0,6.0,48.02,61.32,83.76,193,0,0.0,0,0.0,1.0,55.15
79.66,39.84,73.43,80.71,71.69,,51.72,12.72,148.0,5.0,45.22,42.1,41.63,214,1,0.0,0,0.0,0.0,45.49
73.73,35.47,54.67,88.2,61.49,69.15,70.82,65.48,156.0,6.0,59.41,65.75,60.76,138,0,0.0,0,0.0,0.0,42.5
58.19,39.42,48.6,65.88,60.4,50.11,61.27,58.45,152.0,8.0,60.27,54.18,55.32,264,0,0.0,0,1.0,1.0,52.36
78.6,74.27,51.08,72.02,95.85,67.89,72.47,54.73,153.0,4.0,53.72,40.54,46.09,332,0,1.0,0,1.0,1.0,71.17
62.95,76.43,37.45,46.76,78.02,55.94,74.22,82.39,132.0,4.0,74.82,73.75,69.14,283,1,1.0,1,0.0,0.0,64.23
43.41,34.82,0.0,40.92,61.13,36.24,69.75,58.36,,7.0,67.48,81.63,62.54,290,0,0.0,0,1.0,1.0,47.56
66.07,60.02,58.32,58.93,39.67,53.37,74.15,58.54,125.0,4.0,75.04,76.2,49.13,253,0,0.0,1,0.0,0.0,69.5
39.67,37.29,27.84,53.32,47.95,35.85,81.54,88.59,145.0,7.0,52.65,66.92,53.43,222,0,0.0,0,0.0,0.0,32.04
